team,dfs_points,vs_avg,pass_yards_rank,pass_td_rank,pass_20_rank,pass_40_rank,rush_yards_rank,rush_td_rank,rush_20_rank,rush_40_rank,rec_yards_rank,rec_td_rank,receptions_rank,rec_20_rank,rec_40_rank,dk_rank,fd_rank
Packers Logo,32.3,0.0,1.0,1.0,1,1,17.0,1.0,1,1,7.0,18.0,22.0,1,1,16.0,15.0
Texans Logo,10.4,-7.7,6.0,1.0,19,14,7.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0
Texans Logo,18.8,-3.1,1.0,1.0,1,1,9.0,27.0,11,1,5.0,1.0,2.0,11,1,9.0,9.0
Texans Logo,8.9,-3.8,1.0,1.0,1,1,2.0,1.0,1,1,6.0,4.0,9.0,1,1,7.0,5.0
Texans Logo,26.7,-5.6,1.0,1.0,1,1,5.0,1.0,1,1,14.0,2.0,8.0,31,16,3.0,4.0
Colts Logo,15.9,-2.2,21.0,16.0,5,14,6.0,1.0,1,1,1.0,1.0,1.0,1,1,8.0,11.0
Colts Logo,18.1,-3.8,1.0,1.0,1,1,15.0,4.0,27,1,10.0,13.0,7.0,11,1,5.0,6.0
Colts Logo,13.0,0.3,1.0,1.0,1,1,2.0,1.0,1,1,20.0,4.0,24.0,4,1,14.0,11.0
Colts Logo,38.0,5.7,1.0,1.0,1,1,23.0,1.0,1,1,28.0,23.0,29.0,8,16,28.0,28.0
Jaguars Logo,19.9,1.8,27.0,16.0,23,14,25.0,26.0,18,1,1.0,1.0,1.0,1,1,25.0,23.0
Jaguars Logo,20.4,-1.5,1.0,1.0,1,1,6.0,4.0,11,1,26.0,25.0,20.0,28,1,12.0,12.0
Jaguars Logo,12.8,0.1,1.0,1.0,1,1,2.0,1.0,1,1,19.0,15.0,14.0,23,1,13.0,13.0
Jaguars Logo,34.4,2.1,32.0,1.0,32,1,8.0,1.0,1,1,22.0,10.0,26.0,18,16,23.0,18.0
Chiefs Logo,18.2,0.1,7.0,4.0,11,4,30.0,31.0,18,1,1.0,1.0,1.0,1,1,20.0,14.0
Chiefs Logo,21.3,-0.6,1.0,1.0,1,1,17.0,12.0,1,17,20.0,13.0,20.0,11,1,14.0,16.0
Chiefs Logo,6.9,-5.8,1.0,1.0,1,1,24.0,1.0,1,1,5.0,1.0,6.0,14,1,3.0,3.0
Chiefs Logo,29.5,-2.8,1.0,1.0,1,1,6.0,1.0,1,1,9.0,10.0,13.0,12,5,9.0,9.0
Rams Logo,17.2,-0.9,22.0,12.0,11,4,15.0,12.0,1,1,1.0,1.0,1.0,1,1,14.0,13.0
Rams Logo,14.6,-7.3,1.0,1.0,1,1,8.0,1.0,1,17,9.0,13.0,7.0,1,1,1.0,1.0
Rams Logo,14.0,1.3,1.0,1.0,1,1,29.0,32.0,1,1,16.0,15.0,14.0,23,1,19.0,20.0
Rams Logo,33.2,0.9,1.0,1.0,1,1,15.0,1.0,1,1,24.0,10.0,24.0,12,5,19.0,19.0
Chargers Logo,16.6,-1.5,5.0,2.0,8,24,31.0,26.0,1,1,1.0,1.0,1.0,1,1,12.0,7.0
Chargers Logo,18.2,-3.7,1.0,1.0,1,1,12.0,12.0,11,17,7.0,1.0,7.0,11,1,6.0,8.0
Chargers Logo,8.5,-4.2,1.0,1.0,1,1,2.0,1.0,1,1,4.0,15.0,3.0,4,1,5.0,6.0
Chargers Logo,27.0,-5.3,1.0,1.0,1,1,7.0,1.0,1,1,10.0,2.0,11.0,12,27,4.0,5.0
Raiders Logo,18.3,0.2,19.0,12.0,8,24,17.0,12.0,18,1,32.0,1.0,32.0,1,1,21.0,19.0
Raiders Logo,22.5,0.6,1.0,1.0,1,1,10.0,31.0,1,17,6.0,1.0,6.0,1,1,24.0,24.0
Raiders Logo,8.6,-4.1,1.0,1.0,1,1,2.0,1.0,1,1,10.0,4.0,3.0,14,1,6.0,7.0
Raiders Logo,38.5,6.2,1.0,1.0,1,1,14.0,1.0,1,1,29.0,23.0,29.0,12,27,30.0,29.0
Dolphins Logo,23.8,5.7,16.0,22.0,11,4,28.0,32.0,1,30,1.0,1.0,1.0,1,1,30.0,29.0
Dolphins Logo,25.9,4.0,1.0,1.0,1,1,31.0,4.0,31,28,29.0,1.0,27.0,11,26,28.0,28.0
Dolphins Logo,15.5,2.8,1.0,1.0,1,1,29.0,1.0,1,1,25.0,21.0,14.0,28,1,25.0,25.0
Dolphins Logo,28.1,-4.2,31.0,1.0,1,1,27.0,1.0,1,1,3.0,23.0,4.0,3,1,7.0,6.0
Vikings Logo,13.1,-5.0,3.0,4.0,2,4,11.0,12.0,1,1,1.0,1.0,1.0,1,1,2.0,3.0
Vikings Logo,21.7,-0.2,1.0,1.0,1,1,27.0,12.0,20,1,13.0,1.0,14.0,1,1,17.0,18.0
Vikings Logo,14.3,1.6,1.0,1.0,1,1,24.0,1.0,1,1,15.0,21.0,22.0,4,1,20.0,19.0
Vikings Logo,19.6,-12.7,1.0,1.0,1,1,21.0,1.0,1,1,1.0,2.0,1.0,8,5,1.0,1.0
Patriots Logo,17.6,-0.5,25.0,22.0,32,4,8.0,1.0,1,1,1.0,1.0,1.0,1,1,16.0,18.0
Patriots Logo,17.4,-4.5,1.0,1.0,1,1,2.0,4.0,11,1,19.0,13.0,11.0,11,1,4.0,4.0
Patriots Logo,15.9,3.2,1.0,1.0,1,1,2.0,1.0,1,1,31.0,15.0,22.0,31,1,26.0,26.0
Patriots Logo,33.4,1.1,1.0,1.0,1,1,28.0,1.0,1,1,17.0,23.0,13.0,27,5,21.0,21.0
Saints Logo,20.4,2.3,12.0,27.0,5,29,26.0,12.0,31,1,1.0,1.0,1.0,1,1,26.0,26.0
Saints Logo,23.1,1.2,1.0,1.0,1,1,21.0,12.0,1,17,18.0,25.0,25.0,1,1,25.0,23.0
Saints Logo,16.1,3.4,1.0,1.0,1,1,2.0,1.0,1,1,22.0,29.0,20.0,23,1,28.0,27.0
Saints Logo,28.8,-3.5,1.0,1.0,1,1,1.0,1.0,1,1,6.0,18.0,7.0,5,31,8.0,8.0
Giants Logo,17.4,-0.7,24.0,7.0,7,3,20.0,11.0,17,1,1.0,1.0,1.0,1,1,15.0,15.0
Giants Logo,21.9,0.0,1.0,1.0,1,1,24.0,26.0,19,27,14.0,1.0,15.0,1,1,18.0,21.0
Giants Logo,12.7,0.0,32.0,1.0,1,1,1.0,1.0,1,1,17.0,14.0,21.0,12,1,12.0,12.0
Giants Logo,38.4,6.1,1.0,1.0,1,1,22.0,28.0,1,1,30.0,17.0,31.0,12,4,29.0,30.0
Jets Logo,19.7,1.6,9.0,27.0,31,24,22.0,1.0,18,30,1.0,1.0,1.0,1,1,23.0,25.0
Jets Logo,21.7,-0.2,1.0,1.0,1,1,26.0,22.0,11,28,2.0,25.0,1.0,11,1,16.0,25.0
Jets Logo,15.4,2.7,1.0,1.0,1,1,2.0,1.0,1,1,9.0,32.0,14.0,4,1,24.0,24.0
Jets Logo,32.3,0.0,1.0,1.0,1,1,18.0,29.0,1,1,21.0,10.0,6.0,32,27,15.0,17.0
Eagles Logo,17.7,-0.4,11.0,7.0,10,28,24.0,25.0,30,1,1.0,1.0,1.0,1,1,18.0,17.0
