team,dfs_points,vs_avg,pass_yards_rank,pass_td_rank,pass_20_rank,pass_40_rank,rush_yards_rank,rush_td_rank,rush_20_rank,rush_40_rank,rec_yards_rank,rec_td_rank,receptions_rank,rec_20_rank,rec_40_rank,dk_rank,fd_rank
Packers Logo,24.9,-7.6,1.0,1.0,1,1,5.0,1.0,1,1,3.0,7.0,13.0,1,1,4.0,4.0
Texans Logo,14.1,-3.4,16.0,5.0,26,10,8.0,1.0,1,1,1.0,1.0,1.0,1,1,7.0,7.0
Texans Logo,23.6,3.0,1.0,1.0,1,1,19.0,29.0,1,1,16.0,1.0,9.0,15,1,26.0,27.0
Texans Logo,10.4,-1.4,1.0,1.0,1,1,1.0,1.0,1,1,9.0,10.0,17.0,1,1,12.0,9.0
Texans Logo,34.0,1.5,1.0,1.0,1,1,9.0,1.0,1,1,27.0,7.0,25.0,29,14,21.0,20.0
Colts Logo,14.7,-2.8,7.0,18.0,2,10,10.0,1.0,1,1,1.0,1.0,1.0,1,1,9.0,13.0
Colts Logo,19.1,-1.5,1.0,1.0,1,1,13.0,16.0,31,1,16.0,21.0,6.0,1,1,12.0,13.0
Colts Logo,11.2,-0.6,1.0,1.0,1,1,1.0,1.0,1,1,16.0,10.0,10.0,10,1,17.0,18.0
Colts Logo,31.7,-0.8,1.0,1.0,1,1,25.0,1.0,1,1,9.0,14.0,22.0,5,14,14.0,14.0
Jaguars Logo,17.1,-0.4,14.0,18.0,10,24,17.0,17.0,25,1,1.0,1.0,1.0,1,1,18.0,17.0
Jaguars Logo,13.7,-6.9,1.0,1.0,1,1,6.0,1.0,1,1,11.0,21.0,9.0,15,1,3.0,4.0
Jaguars Logo,9.0,-2.8,1.0,1.0,1,1,1.0,1.0,1,1,13.0,1.0,17.0,10,1,7.0,7.0
Jaguars Logo,39.0,6.5,1.0,1.0,1,1,2.0,1.0,1,1,24.0,22.0,31.0,7,25,27.0,27.0
Chiefs Logo,16.0,-1.5,9.0,5.0,10,1,29.0,17.0,25,1,1.0,1.0,1.0,1,1,14.0,12.0
Chiefs Logo,20.1,-0.5,1.0,1.0,1,1,17.0,16.0,1,1,20.0,1.0,17.0,15,1,15.0,15.0
Chiefs Logo,6.1,-5.7,1.0,1.0,1,1,26.0,1.0,1,1,5.0,1.0,3.0,10,1,3.0,4.0
Chiefs Logo,30.9,-1.6,1.0,1.0,1,1,5.0,1.0,1,1,12.0,14.0,18.0,7,1,13.0,10.0
Rams Logo,17.5,0.0,10.0,11.0,19,1,23.0,17.0,1,1,1.0,1.0,1.0,1,1,19.0,15.0
Rams Logo,9.4,-11.2,1.0,1.0,1,1,12.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0
Rams Logo,10.9,-0.9,1.0,1.0,1,1,1.0,1.0,1,1,15.0,10.0,10.0,10,1,16.0,15.0
Rams Logo,32.7,0.2,1.0,1.0,1,1,18.0,1.0,1,1,16.0,14.0,22.0,24,1,19.0,21.0
Chargers Logo,16.0,-1.5,11.0,1.0,13,24,31.0,17.0,1,1,1.0,1.0,1.0,1,1,14.0,10.0
Chargers Logo,14.6,-6.0,1.0,1.0,1,1,4.0,4.0,1,21,7.0,1.0,20.0,1,1,5.0,3.0
Chargers Logo,9.2,-2.6,1.0,1.0,1,1,1.0,1.0,1,1,7.0,10.0,5.0,10,1,8.0,8.0
Chargers Logo,28.4,-4.1,1.0,1.0,1,1,11.0,1.0,1,1,14.0,1.0,17.0,20,25,7.0,7.0
Raiders Logo,18.6,1.1,23.0,11.0,13,28,24.0,17.0,25,1,32.0,1.0,32.0,1,1,23.0,19.0
Raiders Logo,18.1,-2.5,1.0,1.0,1,1,16.0,16.0,1,21,9.0,1.0,13.0,1,1,9.0,10.0
Raiders Logo,7.0,-4.8,1.0,1.0,1,1,1.0,1.0,1,1,13.0,1.0,4.0,10,1,5.0,5.0
Raiders Logo,41.0,8.5,1.0,1.0,1,1,23.0,1.0,1,1,30.0,22.0,28.0,20,30,30.0,29.0
Dolphins Logo,25.6,8.1,21.0,26.0,13,10,22.0,32.0,1,1,1.0,1.0,1.0,1,1,31.0,30.0
Dolphins Logo,23.6,3.0,1.0,1.0,1,1,25.0,4.0,26,1,30.0,1.0,20.0,15,28,24.0,25.0
Dolphins Logo,17.2,5.4,1.0,1.0,1,1,30.0,1.0,1,1,29.0,26.0,24.0,30,1,30.0,31.0
