Name,Stat,Line,Odds,Array,Temp,Size,Avg,Diff,Rel Diff,Percent,Sample Size,Score,GameId
Miles McBride,SG,NYK,IND,Pts+Rebs+Asts,8.0,standard,"[6, 17, 8, 1, 5, 13, 25, 22, 23, 15, 12, 9, 19, 12, 8, 9, 5, 8]","[12, 8, 9, 5, 8]",15,18,12.056,8.4,4.056,0.312,50.694,18,4.119,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Free Throws Made,0.5,standard,"[0, 0, 2, 0, 2, 0]","[0, 2, 0, 2, 0]",4.5,6,0.667,0.8,0.167,0.03,33.333,6,1.616,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Offensive Rebounds,3.0,standard,"[1, 4, 4, 3, 5, 1]","[4, 4, 3, 5, 1]",5,6,3.0,3.4,0.0,0.0,0.0,6,1.658,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Free Throws Made,0.5,standard,"[0, 2, 1, 0, 4, 0, 0, 3, 0, 1, 0, 1, 0, 0, 2, 0, 3]","[0, 0, 2, 0, 3]",13.0,17,1.0,1.0,0.5,0.091,100.0,17,3.837,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Points,7.0,standard,"[9, 12, 9, 12, 20, 2, 14, 7, 11, 3, 8, 9, 8, 4, 8, 5, 11]","[8, 4, 8, 5, 11]",14,17,8.941,7.2,1.941,0.162,27.731,17,3.864,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Pts+Asts,8.5,standard,"[11, 14, 9, 15, 21, 5, 16, 9, 12, 7, 12, 10, 8, 6, 8, 7, 11]","[8, 6, 8, 7, 11]",13.0,17,10.647,8.0,2.147,0.159,25.26,17,3.814,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Pts+Rebs,10.5,standard,"[17, 15, 11, 18, 23, 3, 15, 12, 15, 6, 9, 12, 18, 6, 12, 7, 15]","[18, 6, 12, 7, 15]",13,17,12.588,11.6,2.088,0.135,19.888,17,3.835,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Pts+Rebs+Asts,12.0,standard,"[19, 17, 11, 21, 24, 6, 17, 14, 16, 10, 13, 13, 18, 8, 12, 9, 15]","[18, 8, 12, 9, 15]",13,17,14.294,12.4,2.294,0.135,19.118,17,3.832,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,3-PT Attempted,0.5,standard,"[0, 0, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 2, 1, 0, 2]","[1, 2, 1, 0, 2]",15.0,17,0.882,1.2,0.382,0.069,76.471,17,3.907,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,Points,7.0,standard,"[5, 16, 18, 10, 6, 15, 7, 15, 12, 7, 6, 7, 10, 10, 12, 6, 7]","[10, 10, 12, 6, 7]",15.5,17,9.941,9.0,2.941,0.245,42.017,17,3.958,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
